7.21,6.677,59.99,685,3004,2014
7.40,6.672,119.99,687,2959,2017
7.04,6.670,69.99,688,4214,2014
7.25,6.667,40.00,690,2580,2016
6.89,6.665,11.99,691,6848,2012
7.45,6.665,59.99,693,1791,2015
6.90,6.660,59.99,698,6643,2013
6.81,6.660,34.99,699,20399,2012
7.01,6.660,24.99,700,4799,2010
7.26,6.658,49.99,701,2407,2016
7.03,6.658,39.99,702,4423,2015
7.37,6.658,69.99,703,2032,2012
6.90,6.655,14.99,706,6749,1984
7.12,6.653,31.43,708,3083,2016
7.24,6.652,57.28,709,2487,2011
7.50,6.652,89.99,710,1737,2013
6.95,6.651,19.99,711,4971,2007
7.05,6.645,44.99,716,3614,2008
7.01,6.644,49.00,717,4093,2003
7.07,6.643,54.99,719,3473,2011
6.99,6.642,24.99,720,4275,2014
6.97,6.641,29.99,721,4646,2015
7.02,6.639,29.99,723,3847,2013
6.73,6.639,11.99,724,17475,2003
8.21,6.638,75.00,726,1061,2018
7.33,6.636,39.99,728,2050,2014
7.11,6.636,29.99,729,3049,2011
7.97,6.635,79.99,730,1148,2016
7.41,6.634,49.99,731,1968,2014
7.36,6.633,49.99,732,2149,2014
6.98,6.632,33.16,734,4010,2014
6.92,6.629,54.99,738,5003,2013
7.12,6.628,29.99,742,3028,2015
7.80,6.624,55.00,747,1441,2017
6.95,6.623,49.99,748,4404,1997
7.04,6.623,13.99,749,3417,2014
7.22,6.622,49.95,750,2319,2016
6.89,6.620,49.99,752,7451,2005
7.04,6.620,25.00,753,3360,2016
6.88,6.620,44.99,755,5564,2009
7.55,6.617,50.00,758,1665,2017
7.19,6.616,59.99,759,2526,2008
7.20,6.616,49.99,760,2523,2017
8.51,6.615,69.99,761,796,2019
7.93,6.613,14.95,765,1036,2017
6.96,6.612,24.99,766,4034,2012
6.98,6.612,18.19,767,3868,2017
7.36,6.609,19.99,769,1902,2018
7.68,6.609,79.99,770,1567,2017
7.75,6.608,49.99,771,1242,2017
7.12,6.608,54.99,774,2807,2010
7.54,6.606,60.16,776,1514,2017
7.04,6.603,24.99,778,3461,2013
6.89,6.602,39.99,781,4775,2004
7.36,6.602,44.99,782,2214,2017
6.88,6.601,29.99,786,5340,2013
6.85,6.601,25.00,787,5911,2005
7.10,6.600,99.99,788,3160,2011
7.21,6.597,20.06,790,2429,2015
6.95,6.597,39.99,791,3899,2005
7.57,6.597,24.99,792,1429,2018
6.83,6.597,29.99,793,7307,2005
7.54,6.596,69.99,794,1684,2014
6.92,6.594,35.99,799,4214,2014
6.87,6.594,29.99,800,5382,2016
7.78,6.591,62.98,802,1201,2010
7.19,6.591,39.99,803,2402,2016
6.91,6.590,34.99,804,4462,2014
7.28,6.589,44.99,805,2406,2018
6.97,6.589,29.99,806,3620,2012
7.07,6.589,35.95,807,3047,2013
7.58,6.587,74.99,809,1428,2012
7.13,6.584,34.99,814,2604,2013
6.74,6.583,24.99,815,12090,1996
7.42,6.583,59.99,816,1674,2015
7.04,6.581,24.99,818,2937,2015
6.97,6.580,21.97,820,3894,2016
6.90,6.580,59.99,821,4513,2015
6.93,6.578,44.99,822,3928,2006
7.41,6.578,80.00,823,1849,2016
6.75,6.574,19.99,827,7967,2004
6.97,6.573,59.95,828,4190,2008
7.21,6.573,39.99,829,2153,2016
6.79,6.571,12.99,831,8466,2001
7.63,6.569,19.99,832,1366,2016
7.46,6.569,74.99,833,1701,2015
6.81,6.566,49.95,836,5971,2006
6.68,6.565,29.99,837,19771,2004
6.66,6.564,29.99,839,20941,2012
7.74,6.562,39.95,841,1150,2017
7.26,6.561,14.99,842,2002,2013
6.76,6.558,39.99,843,6844,2013
7.04,6.554,24.99,849,2888,2015
8.28,6.553,249.95,851,828,2015
6.88,6.553,49.99,852,4283,2001
6.81,6.553,39.99,853,5260,2010
7.90,6.552,73.80,855,1035,2016
7.36,6.552,39.52,856,1616,2015
6.85,6.551,14.99,857,4577,2005
6.99,6.549,39.99,858,2986,2014
7.20,6.546,59.95,859,2015,2017
6.86,6.544,34.95,861,4770,1991
7.64,6.543,39.99,862,1853,2017
6.73,6.535,44.99,865,7371,1998
7.20,6.535,29.99,866,2039,2015
6.86,6.531,34.95,867,4512,2004
7.27,6.530,59.95,868,1898,2016
6.67,6.528,34.99,870,12594,2009
7.03,6.528,46.47,871,2769,2015
7.60,6.527,69.99,872,1393,2015
7.17,6.525,44.99,877,2204,2015
7.13,6.523,60.00,878,2096,2013
6.97,6.521,44.99,879,2780,2007
7.42,6.520,59.99,880,1461,2010
7.63,6.520,79.99,881,1137,2012
6.92,6.519,59.95,882,3756,1977
6.85,6.519,36.99,883,4069,2001
6.88,6.517,69.99,887,4871,2004
7.04,6.517,70.00,889,2371,2010
7.25,6.515,19.95,893,1759,2017
6.78,6.514,19.99,894,5107,2008
7.24,6.513,59.99,896,1763,2015
6.72,6.512,39.99,897,6658,2003
7.18,6.512,49.99,898,1920,2014
6.92,6.510,39.99,899,2961,2012
7.19,6.509,59.99,900,1818,2014
7.15,6.509,24.99,901,2125,2017
8.01,6.509,36.00,902,915,2007
7.20,6.506,23.99,908,1850,2017
6.86,6.505,29.99,910,3883,2009
7.13,6.503,39.99,911,2515,2018
6.69,6.502,31.99,912,7085,2000
7.27,6.500,29.99,913,1694,2017
7.05,6.499,21.88,916,2255,2017
6.60,6.497,14.99,919,20983,2004
7.17,6.497,19.99,920,1936,2016
6.71,6.496,14.99,922,6463,2010
6.85,6.496,74.99,923,3642,1987
7.58,6.495,69.99,925,1146,2018
6.70,6.494,16.99,926,8007,1810
6.72,6.493,12.00,929,5641,2015
6.94,6.492,28.00,930,2869,2013
7.06,6.491,59.95,931,3261,2017
6.84,6.490,39.99,933,3745,2015
6.87,6.488,59.95,936,3666,2006
7.14,6.485,14.99,938,1850,2017
6.92,6.484,24.99,939,2965,2013
8.13,6.483,19.80,940,808,2018
7.17,6.481,29.95,943,1779,1995
7.00,6.481,14.99,944,2572,2012
6.66,6.480,12.99,945,9128,2009
7.68,6.479,59.95,948,1041,2018
6.93,6.479,40.00,950,2872,2010
7.36,6.478,19.99,951,1399,2015
6.73,6.476,17.99,955,5401,2010
6.66,6.474,29.49,959,7257,2001
7.34,6.472,69.99,961,1404,2010
6.83,6.471,49.99,962,3328,2006
7.29,6.470,59.99,965,1465,2014
7.26,6.470,49.99,966,1737,2014
6.82,6.469,29.99,967,3958,2011
6.66,6.469,24.99,968,7884,2013
7.33,6.469,43.54,969,1403,2015
6.85,6.468,39.95,971,3238,2012
7.27,6.467,79.99,972,1888,2018
6.71,6.467,27.99,973,5267,2004
6.81,6.467,24.99,976,3670,2003
7.46,6.465,102.99,978,1371,2014
6.66,6.465,39.99,979,6892,2003
6.84,6.465,44.99,981,3246,2011
7.31,6.464,55.00,982,1442,2017
7.13,6.464,19.99,985,1879,2018
6.82,6.464,19.99,986,3705,2016
7.30,6.462,24.94,988,1825,2018
6.97,6.462,49.99,989,2911,2002
6.93,6.460,29.99,990,2694,2006
7.08,6.459,29.99,993,2057,2014
7.55,6.458,39.95,995,1180,2017
6.86,6.456,29.99,997,2886,2006
7.07,6.455,55.00,999,1941,2009
7.49,6.454,59.95,1000,1280,2017
6.89,6.454,14.99,1001,2906,2016
7.37,6.454,39.99,1002,1465,2014
7.35,6.452,22.99,1006,1362,2015
6.88,6.452,59.95,1008,2743,2009
